"AAA","Request Validation"
"TBI","Trade Line Bureau Identifier"
"TC2","Commodity"
"TCD","Itemized Call Detail"
"TD1","Carrier Details (Quantity and Weight)"
"TD3","Carrier Details (Equipment)"
"TD4","Carrier Details (Special Handling, or Hazardous Materials, or Both)"
"TD5","Carrier Details (Routing Sequence/Transit Time)"
"TDS","Total Monetary Value Summary"
"TED","Technical Error Description"
"TEM","Pick-up Totals"
"TER","Territory"
"TF","Tariff Information"
"TFA","Tariff Adjustments"
"TFD","Tariff Adjustments Minimum Charge"
"TFM","Tariff Minimum Rates"
"TFR","Tariff Restrictions"
"TFS","Tax Form"
"THE","Screen Theater Identification"
"TI","Transport Information"
"TIA","Tax Information and Amount"
"TID","Task Identification"
"TIS","Title Insurance Services"
"TLN","Tradeline"
"TMD","Test Method"
"TOA","Type of Activity"
"TOO","Tooth Identification"
"TOV","Vehicle Use Information"
"TPB","Business Professional Title"
"TPD","Trading Partner Detail"
"TRF","Rating Factors"
"TRN","Trace"
"TRS","Tax Rate"
"TS","Tariff Section"
"TS2","Transaction Supplemental Statistics"
"TS3","Transaction Statistics"
"TSD","Trailer Shipment Details"
"TSI","Automatic Equipment Tag Status Information"
"TSP","Test Period or Interval"
"TST","Test Score Record"
"TSU","Transaction Summary"
"TT","Term Text"
"TUD","Trade Union Data"
"TXI","Tax Information"
"TXN","Transaction Capabilities"
"TXP","Tax Payment"
"UC","Underwriting Category"
"UCS","Underwriting Considerations"
"UD","Underwriting Status"
"UDA","Underwriting Condition"
"UIT","Unit Detail"
"UM","Health Care Services Review Information"
"UQS","Underwriting Question"
"UR","Peer Review Organization or Utilization Review"
"USD","Usage-Sensitive Detail"
"UWI","Underwriting Information"
"V1","Vessel Identification"
"V2","Vessel Information"
"V3","Vessel Schedule"
"V4","Cargo Location Reference"
"V5","Vessel Code"
"V9","Event Detail"
"VAD","Vehicle Advice Detail"
"VAR","Credit File Variation"
"VAT","Vehicle Attribute"
"VC","Motor Vehicle Control"
"VC1","Vehicle Detail"
"VDI","Value Description or Information"
"VEH","Vehicle Information"
"VID","Conveyance Identification"
"VR","Rate Origin"
"VRC","Vehicle Recovery"
"W1","Block Identification"
"W2","Equipment Identification"
"W3","Consignee Information"
"W4","Consignor Information"
"W5","Route Information"
"W6","Special Handling Information"
"W01","Line Item Detail - Warehouse"
"W03","Total Shipment Information"
"W04","Item Detail Total"
"W05","Shipping Order Identification"
"W06","Warehouse Shipment Identification"
"W07","Item Detail For Stock Receipt"
"W08","Receipt Carrier Information"
"W09","Equipment and Temperature"
"W10","Warehouse Additional Carrier Information"
"W12","Warehouse Item Detail"
"W13","Item Detail Exception"
"W14","Total Receipt Information"
"W15","Warehouse Adjustment Identification"
"W17","Warehouse Receipt Identification"
"W18","Probe Temperatures"
"W19","Warehouse Adjustment Item Detail"
"W20","Line-Item Detail - Miscellaneous"
"W27","Carrier Detail"
"W28","Consolidation Information"
"W66","Warehouse Carrier Information"
"W76","Total Shipping Order"
"WGP","Tariff Weight Group"
"WS","Work Schedule"
"X1","Export License"
"X2","Import License"
"X4","Customs Release Information"
"X7","Customs Information"
"X01","Automated Manifest Archive Status Details"
"X02","Automated Manifest Bills Eligible/Overdue Archive Details"
"XD","Placement/Pull Data"
"XH","Pro Forma - B13 Information"
"XPO","Preassigned Purchase Order Numbers"
"XQ","Reporting Date/Action"
"Y1","Space Reservation Request"
"Y2","Container Details"
"Y3","Space Confirmation"
"Y4","Container Release"
"Y5","Space Booking Cancellation"
"Y6","Authentication"
"Y7","Priority"
"YNQ","Yes/No Question"
"ZA","Product Activity Reporting"
"ZC1","Beginning Segment For Data Correction Or Change"
"ZD","Transaction Set Deletion - ID, Reason, and Source"
"ZR","Waybill Reference Identification"
"ZT","Waybill Request Information"
